#{"t_start": 1780697055.7352798, "env_id": "None"}
r,l,t
-0.01,1,17.08108
0.9875,1,17.08727
0.9,10,17.104015
0.8375,14,17.135249
0.7875,23,17.18178
0.925,8,17.197823
-0.275,27,17.245251
0.885,11,17.264676
-0.04,4,17.273021
-0.03,4,17.280601
-0.29,27,17.356628
0.7975,19,17.388364
0.885,11,17.412184
-0.115,11,17.439087
0.8325,16,17.464676
0.8875,13,17.483922
0.865,14,17.522497
0.965,5,17.530278
0.7775,21,17.566688
-0.0175,1,17.566688
0.875,17,17.626022
-0.055,7,17.642009
0.9725,2,17.646072
-0.015,1,17.646072
0.96,4,17.657192
0.9625,5,17.66122
0.765,25,17.712664
0.895,14,17.735626
1.0,1,17.739783
-0.015,1,17.746736
-0.05,7,17.755632
0.755,24,17.801733
0.64,34,17.864804
0.99,2,17.866759
0.925,7,17.878164
0.78,18,17.908095
-0.0575,5,17.917093
-0.015,1,17.917603
0.715,32,17.977673
0.87,13,17.994049
-0.1175,12,18.015986
0.8675,15,18.053092
0.9775,2,18.060195
-0.0925,10,18.074342
-0.1325,12,18.098111
-0.075,11,18.121409
0.7825,19,18.154174
-0.0575,7,18.167156
0.8975,9,18.183928
0.9275,6,18.192005
-0.225,25,18.245566
0.935,8,18.260129
0.895,10,18.282887
1.0,1,18.283887
-0.0075,1,18.285164
0.9,7,18.308626
0.8825,13,18.333883
0.9475,7,18.356599
-0.1375,14,18.384318
0.83,15,18.407102
0.8625,14,18.435097
0.985,2,18.437129
0.9775,2,18.448256
0.7975,20,18.484071
0.9875,2,18.489384
-0.1575,14,18.548529
-0.07,4,18.554103
0.9525,6,18.565485
0.9275,7,18.582275
0.9475,6,18.596958
0.9675,3,18.597946
-0.09,9,18.618375
0.8175,17,18.650196
0.9625,3,18.653945
0.8,17,18.685307
0.8825,16,18.71069
-0.165,18,18.742776
0.845,15,18.770027
0.835,14,18.791707
0.9625,3,18.794214
-0.02,2,18.801949
0.97,5,18.804161
0.0,1,18.804161
0.755,23,18.850776
0.8725,11,18.874195
0.0,1,18.876458
-0.1425,13,18.897252
0.985,4,18.907767
-0.005,1,18.916781
0.555,45,19.007782
-0.0225,5,19.016356
0.845,21,19.05026
-0.0625,6,19.069104
-0.015,2,19.074436
0.955,5,19.09098
0.9375,6,19.098957
0.9275,7,19.11436
0.6725,35,19.185311
0.825,19,19.212046
0.8225,16,19.238496
-0.15,18,19.278149
0.9975,1,19.279146
0.9575,4,19.286346
-0.0275,5,19.297306
0.975,3,19.308404
0.98,4,19.318053
-0.05,5,19.331045
-0.01,1,19.360631
-0.0225,2,19.366706
0.95,5,19.380361
0.9825,2,19.390925
-0.2225,24,19.435268
-0.05,6,19.446173
0.9375,7,19.459387
0.985,1,19.460425
0.9625,5,19.475001
0.95,5,19.487278
0.6475,41,19.554467
0.9825,2,19.561813
0.89,12,19.585706
